epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,208.58,0.57482,0.58346,0.50629,1.02785,0.95503,0.88096,0.93565,0.85865,0.95419,0.88148,0.94237,0.78523,0.44481,0.4975,0.41153,0.79908,0.00038375,0.00038375,0.00038375
72,211.439,0.56869,0.59441,0.48231,1.02351,0.96002,0.8847,0.93397,0.86527,0.9439,0.90137,0.94223,0.79077,0.44988,0.47218,0.40959,0.81479,0.000371375,0.000371375,0.000371375
73,214.288,0.54702,0.57321,0.477,1.02868,0.95142,0.88785,0.93374,0.8634,0.95227,0.89106,0.9418,0.78328,0.48392,0.51242,0.42779,0.84013,0.000359,0.000359,0.000359
74,217.151,0.57416,0.67216,0.49718,1.0352,0.9314,0.89592,0.93278,0.85928,0.91708,0.91592,0.94008,0.78106,0.47282,0.51238,0.4197,0.82115,0.000346625,0.000346625,0.000346625
75,219.993,0.5545,0.53285,0.48852,1.01968,0.94358,0.8958,0.93297,0.86097,0.93923,0.89854,0.94204,0.7783,0.45226,0.50274,0.39989,0.80034,0.00033425,0.00033425,0.00033425
76,222.848,0.54275,0.56583,0.49237,1.02242,0.94216,0.89819,0.93557,0.86389,0.94457,0.90744,0.9422,0.77095,0.43901,0.50412,0.39588,0.78527,0.000321875,0.000321875,0.000321875
77,225.69,0.52544,0.56217,0.46792,0.99802,0.93818,0.8843,0.93175,0.86221,0.93482,0.89482,0.94086,0.77241,0.43807,0.52862,0.39147,0.78461,0.0003095,0.0003095,0.0003095
78,228.7,0.5679,0.64129,0.48352,1.02777,0.94182,0.87678,0.93181,0.86668,0.92177,0.89988,0.94646,0.77047,0.43858,0.55124,0.39643,0.7815,0.000297125,0.000297125,0.000297125
79,231.549,0.55324,0.606,0.48906,1.03275,0.92886,0.89298,0.92979,0.86132,0.93376,0.90203,0.94145,0.76309,0.44741,0.55545,0.40281,0.80391,0.00028475,0.00028475,0.00028475
80,234.393,0.54232,0.55297,0.46064,1.0143,0.92721,0.89457,0.92574,0.86205,0.92814,0.90624,0.93999,0.79362,0.42288,0.51972,0.39034,0.78531,0.000272375,0.000272375,0.000272375
81,237.246,0.53424,0.58625,0.46811,1.01087,0.94663,0.86179,0.90639,0.84423,0.91717,0.8956,0.92115,0.78074,0.42472,0.52089,0.40499,0.78415,0.00026,0.00026,0.00026
82,240.083,0.53871,0.56918,0.47062,1.01095,0.94616,0.84809,0.90102,0.83677,0.90834,0.89428,0.91474,0.75615,0.43228,0.55366,0.41079,0.78499,0.000247625,0.000247625,0.000247625
83,242.924,0.58032,0.63904,0.49533,1.04981,0.91503,0.89025,0.90979,0.84283,0.92249,0.90047,0.91959,0.76221,0.4271,0.55995,0.40096,0.78589,0.00023525,0.00023525,0.00023525
84,245.759,0.54177,0.56541,0.4586,1.01693,0.92065,0.89632,0.91853,0.85924,0.92363,0.90994,0.92937,0.78975,0.42061,0.54812,0.39684,0.78951,0.000222875,0.000222875,0.000222875
85,248.572,0.52277,0.56941,0.44969,1.00631,0.93312,0.90219,0.92537,0.87112,0.93736,0.90595,0.93509,0.78609,0.42113,0.54029,0.4004,0.79061,0.0002105,0.0002105,0.0002105
86,251.411,0.52231,0.54373,0.44457,0.99321,0.94994,0.89393,0.93227,0.87349,0.94994,0.89393,0.9408,0.78494,0.42505,0.53746,0.38573,0.7877,0.000198125,0.000198125,0.000198125
87,254.264,0.50568,0.52717,0.43672,0.99235,0.95097,0.90421,0.93395,0.87681,0.95097,0.90421,0.94232,0.78881,0.41827,0.53429,0.3727,0.77936,0.00018575,0.00018575,0.00018575
88,257.277,0.53333,0.55354,0.45974,1.00794,0.96966,0.87883,0.93559,0.88,0.96966,0.87883,0.94382,0.80176,0.4111,0.53253,0.37452,0.77413,0.000173375,0.000173375,0.000173375
89,260.163,0.50598,0.53434,0.44587,0.99308,0.96938,0.88587,0.93497,0.88337,0.96897,0.8862,0.94521,0.79995,0.40378,0.51634,0.37992,0.77175,0.000161,0.000161,0.000161
90,263.04,0.53037,0.59337,0.46083,1.00346,0.96067,0.87843,0.93478,0.87734,0.96067,0.87843,0.94297,0.78368,0.40772,0.52319,0.38223,0.7699,0.000148625,0.000148625,0.000148625
91,266.205,0.42542,0.50894,0.47239,1.00121,0.94653,0.8899,0.93326,0.87348,0.94488,0.89134,0.94135,0.77291,0.41879,0.53278,0.38518,0.77816,0.00013625,0.00013625,0.00013625
92,268.983,0.40402,0.53598,0.4306,0.97986,0.93585,0.89732,0.93083,0.8624,0.93751,0.89911,0.93898,0.76698,0.42765,0.5646,0.40956,0.78844,0.000123875,0.000123875,0.000123875
93,271.743,0.42872,0.57402,0.43185,1.01091,0.93467,0.89387,0.92978,0.86253,0.92095,0.91435,0.94194,0.76689,0.42218,0.59447,0.41833,0.784,0.0001115,0.0001115,0.0001115
94,274.506,0.38922,0.49245,0.37304,0.96312,0.94354,0.88639,0.93023,0.86866,0.91795,0.92479,0.94267,0.77818,0.41162,0.57004,0.40942,0.77421,9.9125e-05,9.9125e-05,9.9125e-05
95,277.273,0.39194,0.49783,0.35671,0.96444,0.95961,0.87912,0.93111,0.87202,0.92938,0.91668,0.94348,0.78579,0.40605,0.5357,0.3906,0.76808,8.675e-05,8.675e-05,8.675e-05
96,280.068,0.3897,0.47888,0.34233,0.96345,0.95742,0.87924,0.93168,0.8744,0.94917,0.90421,0.9438,0.78338,0.40181,0.53796,0.38425,0.76375,7.4375e-05,7.4375e-05,7.4375e-05
97,283.045,0.36843,0.46658,0.31263,0.92723,0.94805,0.88957,0.93181,0.87515,0.9448,0.90369,0.94365,0.78592,0.39444,0.53696,0.38982,0.75812,6.2e-05,6.2e-05,6.2e-05
98,285.797,0.36281,0.43349,0.32394,0.94842,0.94864,0.89102,0.93305,0.87704,0.94229,0.90314,0.94388,0.7882,0.39333,0.53965,0.39196,0.75586,4.9625e-05,4.9625e-05,4.9625e-05
99,288.555,0.36048,0.46407,0.31209,0.91146,0.95207,0.88289,0.93343,0.88244,0.92906,0.91508,0.94414,0.78846,0.38687,0.5477,0.39039,0.75108,3.725e-05,3.725e-05,3.725e-05
100,291.346,0.37561,0.46367,0.32503,0.93113,0.95067,0.87986,0.93304,0.88103,0.93006,0.91659,0.94381,0.79073,0.3816,0.54448,0.38185,0.74537,2.4875e-05,2.4875e-05,2.4875e-05
